word,中文释义,English definition
adapt,适应；改编,to change something to make it suitable for a new situation
clarify,澄清；阐明,to make something clear or easier to understand
concentrate,集中注意力,to give all your attention to one thing
consistent,一致的；持续的,always behaving or happening in a similar way
curious,好奇的,wanting to know or learn about something
deliberate,故意的；深思熟虑的,done intentionally or after careful thought
efficient,高效的,working or operating quickly and effectively
emerge,出现；浮现,to appear or become known
essential,必要的；本质的,completely necessary or very important
flexible,灵活的,able to change or be changed easily
flourish,茁壮成长；繁荣,to grow or develop successfully
grasp,理解；抓住,to understand something completely
habit,习惯,something that you do regularly
insight,洞察力；深刻理解,a clear understanding of something complicated
maintain,维持；保持,to make something continue at the same level
persist,坚持,to continue doing something despite difficulty
precise,准确的；精确的,exact and accurate
recall,回忆；召回,to remember something or bring it back to mind
retain,保留；记住,to keep something or continue to remember it
sustain,维持；支撑,to keep something going over a period of time
